grupo,orig_name,n_grupo,n_indicador,maior_melhor
objetivo,objetivo1,1,1,1
objetivo,objetivo1,1,2,1
objetivo,objetivo1,1,3,1
objetivo,objetivo2,2,1,1
objetivo,objetivo2,2,2,1
objetivo,objetivo2,2,3,1
objetivo,objetivo3,3,1,1
objetivo,objetivo3,3,2,1
objetivo,objetivo3,3,3,1
objetivo,objetivo4,4,1,-1
objetivo,objetivo4,4,2,-1
objetivo,objetivo4,4,3,1
eixo,desprod,1,1,1
eixo,desprod,1,2,1
eixo,desprod,1,3,1
eixo,desprod,1,4,1
eixo,citec,2,1,1
eixo,citec,2,2,1
eixo,citec,2,3,1
eixo,citec,2,4,1
eixo,educ,3,1,1
eixo,educ,3,2,1
eixo,educ,3,3,1
eixo,educ,3,4,1
eixo,infra,4,1,1
eixo,infra,4,2,1
eixo,infra,4,3,-1
eixo,infra,4,4,1
eixo,dessoc,5,1,-1
eixo,dessoc,5,2,-1
eixo,dessoc,5,3,-1
eixo,dessoc,5,4,-1
eixo,governativas,6,1,1
eixo,governativas,6,2,1
eixo,governativas,6,3,1
eixo,governativas,6,4,1
eixo,sust,7,1,1
eixo,sust,7,2,-1
eixo,sust,7,3,-1
eixo,sust,7,4,-1
pnad,,1,5,1
pnad,,2,5,1
pnad,,3,5,1
pnad,,4,5,1
pnad,,5,5,1
pnad,,6,5,1
pnad,,7,5,1
